"location","original_location_code","state","state_abb","location_name","population","location_type","hsa_counties"
"denver","688","Colorado","CO","Denver, CO",2948626,"hsa_nci_id","Adams, Arapahoe, Clear Creek, Denver, Douglas, Elbert, Gilpin, Grand, Jefferson, Park, Summit"
"mesa","711","Colorado","CO","Mesa, CO",298361,"hsa_nci_id","Eagle, Garfield, Mesa, Pitkin, Rio Blanco"
"colorado-springs","754","Colorado","CO","Colorado Springs, CO",775090,"hsa_nci_id","Cheyenne, El Paso, Kit Carson, Lincoln, Teller"
"weld","760","Colorado","CO","Weld, CO",384657,"hsa_nci_id","Morgan, Washington, Weld, Yuma"
"boulder","795","Colorado","CO","Boulder, CO",403427,"hsa_nci_id","Boulder, Broomfield"
"larimer","796","Colorado","CO","Larimer, CO",363561,"hsa_nci_id","Larimer"
"colorado","All","Colorado","CO","Colorado",5810774,"hsa_nci_id",""
"savannah","143","Georgia","GA","Savannah, GA",531382,"hsa_nci_id","Bryan, Chatham, Effingham, Evans, Liberty, Long, Tattnall"
"floyd","154","Georgia","GA","Floyd, GA",336814,"hsa_nci_id","Bartow, Chattooga, Floyd, Gordon, Polk"
"hall","157","Georgia","GA","Hall, GA",403526,"hsa_nci_id","Banks, Dawson, Habersham, Hall, Lumpkin, Towns, Union, White"
"marietta","190","Georgia","GA","Marietta, GA",769152,"hsa_nci_id","Cobb"
"macon","193","Georgia","GA","Macon, GA",468099,"hsa_nci_id","Bibb, Bleckley, Crawford, Houston, Jones, Monroe, Peach, Pulaski, Taylor, Twiggs, Wilkinson"
"henry","825","Georgia","GA","Henry, GA",820822,"hsa_nci_id","Fayette, Forsyth, Henry, Rockdale, Walton"
"cherokee","826","Georgia","GA","Cherokee, GA",629169,"hsa_nci_id","Cherokee, Douglas, Paulding, Pickens"
"athens","829","Georgia","GA","Athens, GA",385812,"hsa_nci_id","Barrow, Clarke, Jackson, Madison, Oconee, Oglethorpe"
"south-augusta","830","Georgia","GA","South Augusta, GA",428239,"hsa_nci_id","Burke, Columbia, Jenkins, Lincoln, McDuffie, Richmond"
"columbus","893","Georgia","GA","Columbus, GA",274165,"hsa_nci_id","Chattahoochee, Harris, Marion, Muscogee, Schley, Stewart, Talbot, Webster"
"la-grange","894","Georgia","GA","La Grange, GA",252265,"hsa_nci_id","Coweta, Heard, Meriwether, Troup"
"georgia","All","Georgia","GA","Georgia",10822590,"hsa_nci_id",""
"indianapolis","275","Indiana","IN","Indianapolis, IN",1486315,"hsa_nci_id","Hendricks, Johnson, Marion, Morgan, Putnam, Rush, Shelby"
"indiana","All","Indiana","IN","Indiana",6811752,"hsa_nci_id",""
"bangor","17","Maine","ME","Bangor, ME",258041,"hsa_nci_id","Hancock, Penobscot, Piscataquis, Washington"
"portland","9","Maine","ME","Portland, ME",419733,"hsa_nci_id","Cumberland, Knox, Lincoln, Sagadahoc"
"maine","All","Maine","ME","Maine",1377400,"hsa_nci_id",""
"baltimore","16","Maryland","MD","Baltimore, MD",2619740,"hsa_nci_id","Anne Arundel, Baltimore, Calvert, Carroll, Howard"
"frederick","48","Maryland","MD","Frederick, MD",280341,"hsa_nci_id","Frederick"
"montgomery","869","Maryland","MD","Montgomery, MD",2296252,"hsa_nci_id","Charles, Montgomery, Prince Georges, St. Marys"
"harford","875","Maryland","MD","Harford, MD",366875,"hsa_nci_id","Cecil, Harford"
"maryland","All","Maryland","MD","Maryland",6170738,"hsa_nci_id",""
"worcester","101","Massachusetts","MA","Franklin & Worcester Counties, MA",932586,"hsa_nci_id","Franklin, Worcester"
"pittsfield","112","Massachusetts","MA","Berkshire County, MA",128047,"hsa_nci_id","Berkshire"
"boston","22","Massachusetts","MA","Boston Metro, South Shore, Cape & Islands, MA",3926620,"hsa_nci_id","Barnstable, Dukes, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk"
"springfield","32","Massachusetts","MA","Hampden & Hampshire Counties, MA",619448,"hsa_nci_id","Hampden, Hampshire"
"new-bedford","68","Massachusetts","MA","Bristol County, MA",578436,"hsa_nci_id","Bristol"
"lynn","74","Massachusetts","MA","Essex County, MA",807258,"hsa_nci_id","Essex"
"massachusetts","All","Massachusetts","MA","Massachusetts",6992395,"hsa_nci_id",""
"st-paul","286","Minnesota","MN","St. Paul, MN",1316374,"hsa_nci_id","Chisago, Dakota, Ramsey, Washington"
"duluth","289","Minnesota","MN","Duluth, MN",339559,"hsa_nci_id","Carlton, Cook, Itasca, Koochiching, Lake, Pine, St. Louis"
"minneapolis","540","Minnesota","MN","Minneapolis, MN",2222665,"hsa_nci_id","Anoka, Carver, Hennepin, Le Sueur, McLeod, Scott, Sherburne, Sibley, Wright"
"st-cloud","588","Minnesota","MN","St. Cloud, MN",283771,"hsa_nci_id","Benton, Meeker, Morrison, Stearns, Todd"
"rochester","941","Minnesota","MN","Rochester, MN",354439,"hsa_nci_id","Dodge, Fillmore, Mower, Olmsted, Steele, Wabasha, Winona"
"minnesota","All","Minnesota","MN","Minnesota",5713716,"hsa_nci_id",""
"columbia","160","South Carolina","SC","Columbia, SC",777957,"hsa_nci_id","Fairfield, Lexington, Newberry, Richland"
"greenville","182","South Carolina","SC","Greenville, SC",956963,"hsa_nci_id","Anderson, Greenville, Oconee, Pickens"
"florence","184","South Carolina","SC","Florence, SC",300052,"hsa_nci_id","Chesterfield, Darlington, Florence, Marlboro, Williamsburg"
"charleston","212","South Carolina","SC","Charleston, SC",874934,"hsa_nci_id","Berkeley, Charleston, Colleton, Dorchester, Hampton"
"rock-hill","244","South Carolina","SC","Rock Hill, SC",320736,"hsa_nci_id","Chester, York"
"horry","246","South Carolina","SC","Horry, SC",433137,"hsa_nci_id","Georgetown, Horry"
"south-carolina","All","South Carolina","SC","South Carolina",5212774,"hsa_nci_id",""
"houston","408","Texas","TX","Houston, TX",6538343,"hsa_nci_id","Austin, Chambers, Fort Bend, Harris, Liberty, Montgomery, San Jacinto, Waller"
"san-antonio","410","Texas","TX","San Antonio, TX",2493134,"hsa_nci_id","Atascosa, Bandera, Bexar, Frio, Gonzales, Guadalupe, Kendall, La Salle, McMullen, Medina, Wilson, Zavala"
"beaumont","413","Texas","TX","Beaumont, TX",461142,"hsa_nci_id","Hardin, Jasper, Jefferson, Newton, Orange, Tyler"
"el-paso","415","Texas","TX","El Paso, TX",871841,"hsa_nci_id","Culberson, El Paso, Hudspeth, Loving"
"austin","425","Texas","TX","Austin, TX",2144717,"hsa_nci_id","Bastrop, Burnet, Lee, Llano, Travis, Williamson"
"dallas","453","Texas","TX","Dallas, TX",4356766,"hsa_nci_id","Collin, Dallas, Ellis, Hopkins, Hunt, Kaufman, Rains, Rockwall"
"texas","All","Texas","TX","Texas",29640343,"hsa_nci_id",""
"provo","703","Utah","UT","Provo, UT",762694,"hsa_nci_id","Juab, Millard, Sanpete, Sevier, Utah, Wayne"
"salt-lake-city","708","Utah","UT","Salt Lake City, UT",1396244,"hsa_nci_id","Duchesne, Salt Lake, Summit, Tooele, Uintah, Wasatch"
"ogden","744","Utah","UT","Ogden, UT",707823,"hsa_nci_id","Box Elder, Davis, Morgan, Rich, Weber"
"utah","All","Utah","UT","Utah",3331187,"hsa_nci_id",""
"roanoke","14","Virginia","VA","Roanoke, VA",512683,"hsa_nci_id","Amherst, Appomattox, Botetourt, Campbell, Craig, Floyd, Franklin, Lynchburg, Roanoke, Salem"
"virginia","All","Virginia","VA","Virginia",8657499,"hsa_nci_id",""
"nyc","94","New York","NY","NYC",8516202,"hsa_nci_id","Bronx, Kings, New York, Queens, Richmond"
"nenc","1","North Carolina","NC","Northeastern, NC",941963,"nc_flu_region_id","Beaufort, Bertie, Camden, Chowan, Craven, Currituck, Dare, Edgecombe, Gates, Greene, Halifax, Hertford, Hyde, Jones, Lenoir, Martin, Nash, Northampton, Pamlico, Pasquotank, Perquimans, Pitt, Tyrrell, Washington, Wilson"
"senc","2","North Carolina","NC","Southeastern, NC",848621,"nc_flu_region_id","Brunswick, Carteret, Columbus, Duplin, New Hanover, Onslow, Pender"
"fay-area","3","North Carolina","NC","Fayetteville Area, NC",1354230,"nc_flu_region_id","Bladen, Cumberland, Harnett, Hoke, Johnston, Lee, Moore, Richmond, Robeson, Sampson, Scotland, Wayne"
"rtp-area","4","North Carolina","NC","Research Triangle Park Area, NC",2177229,"nc_flu_region_id","Alamance, Chatham, Durham, Franklin, Granville, Orange, Person, Vance, Wake, Warren"
"triad-area","5","North Carolina","NC","Triad Area, NC",1764313,"nc_flu_region_id","Alleghany, Ashe, Caswell, Davidson, Davie, Forsyth, Guilford, Montgomery, Randolph, Rockingham, Stokes, Surry, Watauga, Wilkes, Yadkin"
"wnc","6","North Carolina","NC","Western, NC",1008573,"nc_flu_region_id","Avery, Buncombe, Burke, Caldwell, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Macon, Madison, McDowell, Mitchell, Polk, Rutherford, Swain, Transylvania, Yancey"
"clt-area","7","North Carolina","NC","Charlotte Area, NC",2748020,"nc_flu_region_id","Alexander, Anson, Cabarrus, Catawba, Cleveland, Gaston, Iredell, Lincoln, Mecklenburg, Rowan, Stanly, Union"
"north-carolina","All","North Carolina","NC","North Carolina",10842949,"nc_flu_region_id",""
"portland","689","Oregon","OR","Portland, OR",1920958,"hsa_nci_id","Clackamas, Clatsop, Columbia, Multnomah, Washington"
"salem","705","Oregon","OR","Salem, OR",543207,"hsa_nci_id","Marion, Polk, Yamhill"
"deschutes","719","Oregon","OR","Deschutes, OR",262599,"hsa_nci_id","Crook, Deschutes, Harney, Jefferson, Wheeler"
"eugene","782","Oregon","OR","Eugene, OR",494435,"hsa_nci_id","Douglas, Lane"
"medford","973","Oregon","OR","Medford, OR",310632,"hsa_nci_id","Jackson, Josephine"
"oregon","All","Oregon","OR","Oregon",4238714,"hsa_nci_id",""
